,project_owner,restriction,basic_price,bidding_month,mean_target_rate,std_target_rate,count_bidding,target_rate,winner_rate
9366,전라남도교육청 전라남도여수교육지원청,여수,62260000,6,99.96865653846156,0.7468310869131921,52,99.23731,99.257
9367,한국전력공사 광주전남지역본부,강진,39746267,6,96.67446702060221,1.6179692091518583,631,94.54861,95.4792
9368,전라남도 보성군,보성,32890000,6,99.7307090909091,0.6789955918872183,33,100.28967,100.2933
9369,전라남도 무안군,무안,50279000,6,99.64503433333333,0.764615766326497,30,100.41786,100.4372
9370,전라남도 해남군,해남,67200000,6,99.80537341463416,0.8513963207214655,41,101.34732,101.554
9371,전라남도 해남군,해남,36260000,6,99.80537341463416,0.8513963207214655,41,100.55398000000001,100.5772
9372,전라남도 광양시,전남,176726000,6,99.88990871428571,0.820355218914204,70,100.92352,100.9306
9373,전라남도교육청 전라남도순천교육지원청,순천,26840000,6,99.67254063829789,0.7460841297718435,47,100.02468,100.0629
9374,전라남도 목포시,목포,26000000,6,99.92271000000001,0.6962800354293528,17,98.76365,98.8967
9375,전라남도 고흥군,전남,548624000,6,99.91265075471696,0.7987581472338773,53,99.12351,99.1283
9376,전라남도교육청 전라남도담양교육지원청,담양,19624000,6,99.74927821428572,0.8492662773985092,28,100.47046,100.4991
9377,한국철도공사 회계통합센터,전남,143570000,6,98.17536133333331,0.757231096732612,90,98.95653,99.0206
9378,한국철도공사 회계통합센터,전남,246719000,6,98.17536133333331,0.757231096732612,90,97.28527,97.3121
9379,한국철도공사 회계통합센터,광주/전남,128821000,6,98.17536133333331,0.757231096732612,90,97.48579000000001,97.5366
9380,한국농어촌공사 전남지역본부 보성지사,보성,27554000,6,100.060562,0.6593113919613406,5,99.98384,100.046
9381,육군상무대근무지원단,전남,38005500,6,98.71251794117647,0.7600109810402041,34,98.83906,98.84100000000001
9382,특수전사령부,전남,50134569,6,98.81666,,1,98.92222,98.9232
9383,한국전력공사 광주전남지역본부,전남,8885384,6,96.67647460317461,1.6184681111459271,630,95.40969,95.4299
9384,전라남도교육청 전라남도신안교육지원청,전남,105699000,6,99.891424,0.7210577883578951,20,99.32454,99.3284
9385,전라남도 장성군,전남,215160000,6,99.85715974358973,0.7971747372191738,39,99.41502,99.4163
9386,전라남도 완도군,완도,32349750,6,99.67016794871796,0.6661126156256776,39,99.82032,99.8714
9387,전라남도 무안군,전남,117668000,6,99.6853275862069,0.7450310543798787,29,98.47653000000001,98.4959
9388,한국농어촌공사 전남지역본부 장흥지사,장흥,49973000,6,99.67764333333334,0.3613602360987377,3,99.19311,99.2615
9389,전라남도교육청 전라남도장흥교육지원청,전남,171248000,6,99.62102083333332,0.6034840959636473,12,100.03503,100.036
9390,한국도로공사 광주전남본부,전남,591767000,6,100.06641964285713,0.7592766570326555,28,100.57175,100.5717
9391,한국전력공사 광주전남지역본부,전남,124201242,6,96.67731680445151,1.6196180215109328,629,96.14673,96.1494
9393,전라남도 여수시,여수,33682000,6,99.9625007920792,0.7993424239294245,101,100.58117,100.6347
9394,국토교통부 익산지방국토관리청 순천국토관리사무소,전남,30549000,6,99.93450093749999,0.49134844820219714,32,99.80965,99.8099
